Anno;CAP;totale_veicoli;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;ALTRE ALIMENTAZIONI;ALIMENTAZIONE NON DEFINITO;18 - 25 ANNI;26 - 35 ANNI;36 - 50 ANNI;51 - 60 ANNI;61 - 70 ANNI;0 - 17 ANNI;ETÀ NON CONTEMPLATO;ETÀ NON DEFINITO;OLTRE 70 ANNI;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 5B;EURO 6;EURO 6A;EURO 6B;EURO 6C;EURO 6D;EURO NON CONTEMPLATO;EURO NON DEFINITO;SESSO FEMMINILE;SESSO MASCHILE;SESSO ND;SOCIETÀ PA;SOCIETÀ SAPA;SOCIETÀ SAS;SOCIETÀ SNC;SOCIETÀ SOC;SOCIETÀ SPA;SOCIETÀ SRL;SOCIETÀ SURL;SRLS;ANZIANITÀ VEICOLO 0 - 1 ANNI;ANZIANITÀ VEICOLO 2 – 3 ANNI;ANZIANITÀ VEICOLO 4 – 5 ANNI;ANZIANITÀ VEICOLO 6 – 7 ANNI;ANZIANITÀ VEICOLO 8 – 9 ANNI;ANZIANITÀ VEICOLO 10 - 12 ANNI;ANZIANITÀ VEICOLO 13 - 15 ANNI;ANZIANITÀ VEICOLO OLTRE 15 ANNI;ANZIANITÀ VEICOLO NON DEFINITO
2023;40136;5330;2432;300;131;108;1493;748;86;32;;;78;409;1019;1138;1198;1;311;19;1157;431;73;181;230;790;826;;2690;;;;;108;1;2262;2757;1;;;24;13;43;10;218;;2;550;687;733;615;438;490;487;1327;3
2023;40138;19746;7782;2211;919;324;5722;2102;432;254;;;246;2034;4421;3756;3163;;3068;31;3027;967;222;609;1019;3631;3270;;9701;;;;;324;3;6951;9727;;36;;87;163;121;974;1629;;58;2480;2207;2415;2218;1611;1950;2163;4699;3
2023;40139;21579;9254;2772;1174;89;5879;2017;115;277;;2;259;2003;5419;4661;3643;;498;33;5063;1042;230;676;1043;4298;4031;;10163;;;;;89;7;8747;12334;;78;;73;65;79;10;185;;8;1826;2101;2745;2632;2047;2434;2497;5287;10
2023;ND;399;313;25;9;;51;;;;;1;;;26;77;66;;64;11;155;185;38;53;44;74;;;;;;;;;5;102;233;1;8;;6;3;27;4;15;;;;;;;;;;393;6
2024;40124;4145;1951;337;190;52;988;501;96;30;;;32;315;711;781;762;;674;16;854;392;54;126;182;713;361;207;1705;1;327;23;;52;2;1434;2037;3;27;;40;22;201;52;314;;15;424;398;441;453;386;381;424;1235;3
2024;40125;5053;2456;335;141;51;1326;612;100;31;;1;57;390;868;943;933;;678;14;1170;469;86;152;267;782;491;284;2002;;439;27;;51;3;2043;2332;23;4;;46;33;210;30;318;;14;505;488;561;547;453;459;521;1516;3
2024;40128;19325;7301;2485;940;477;5622;2150;127;222;;1;260;1882;4933;3822;2872;;2569;25;2962;913;231;616;983;3614;1965;1242;7344;;1898;38;;477;4;6514;10242;12;5;;60;72;304;1234;719;;163;1932;1935;2058;2176;1812;1920;2226;5261;5
2024;40133;21469;8851;2649;915;204;5891;2542;140;273;4;;285;2149;4951;5004;3444;;1826;16;3794;1019;229;598;972;3836;2217;1375;8867;1;2086;64;;204;1;7839;11804;4;;;67;104;46;431;1142;;32;2315;2101;2434;2451;2097;2140;2409;5517;5
2024;40141;11130;4887;1255;466;81;2823;1403;90;124;;1;170;984;2664;2474;2153;;166;32;2487;541;106;303;484;2042;1106;752;4508;;1166;39;;81;2;4770;6194;13;;;27;18;12;4;82;;10;1044;1027;1270;1341;1187;1149;1197;2912;3
2019;40121;4092;1910;298;209;7;1512;144;12;;;;46;380;952;758;616;;682;7;651;383;83;227;319;974;790;;1306;;;;;7;3;1422;1988;12;;;53;56;123;37;401;;;548;577;359;310;358;569;396;968;7
